"","Close","High","Low","Open","Volume"
"2004-01-02",1.79780439814815,1.80058662749288,1.73381312321937,1.76163541666667,5804780
"2004-01-05",1.87570681980057,1.89240019586895,1.78667548076923,1.79780439814815,12057777
"2004-01-06",1.98977822293447,2.05098726851852,1.8979646545584,1.8979646545584,37591745
"2004-01-07",2.00647159900285,2.04542280982906,1.96752038817664,1.98977822293447,19536244
"2004-01-08",2.01203605769231,2.02872943376068,1.96195592948718,2.00925382834758,12701527
"2004-01-09",1.90631134259259,2.02594720441595,1.8979646545584,2.01203605769231,16045970
"2004-01-12",1.95082701210826,1.95360924145299,1.88683573717949,1.8979646545584,9085634
"2004-01-13",1.94804478276353,2.00647159900285,1.92022248931624,1.96752038817664,10865359
"2004-01-14",1.90631134259259,1.96195592948718,1.8979646545584,1.95917370014245,7326908
"2004-01-15",1.9257869480057,1.95082701210826,1.8979646545584,1.90631134259259,6167846
"2004-01-16",1.97586707621083,1.98977822293447,1.92022248931624,1.9257869480057,8907718
"2004-01-29",2.04542280982906,2.05933395655271,1.95360924145299,1.97586707621083,11326806
"2004-01-30",1.97586707621083,2.06211618589744,1.9730848468661,2.05098726851852,8234225
"2004-02-02",2.08437402065527,2.11776077279202,1.99534268162393,2.00925382834758,23519653
"2004-02-03",2.12888969017094,2.15671198361823,2.05376949786325,2.08437402065527,17544695
"2004-02-04",2.17896981837607,2.19844542378917,2.1344541488604,2.14280083689459,19397504
"2004-02-05",2.19288096509971,2.25409001068376,2.17062313034188,2.19288096509971,17483903
"2004-02-06",2.31808128561254,2.44884606481481,2.14280083689459,2.19844542378917,43812503
"2004-02-09",2.34033912037037,2.38207256054131,2.29304122150997,2.32642797364672,19630069
"2004-02-10",2.38207256054131,2.44049937678063,2.31808128561254,2.35703249643875,23260262
"2004-02-11",2.34868580840456,2.4098948539886,2.30138790954416,2.39320147792023,20199117
"2004-02-12",2.31808128561254,2.40154816595442,2.31529905626781,2.35703249643875,14827641
"2004-02-13",2.24574332264957,2.33755689102564,2.23461440527066,2.29860568019943,14423658
"2004-02-16",2.3431213497151,2.35146803774929,2.24574332264957,2.24574332264957,12619536
"2004-02-17",2.33477466168091,2.38485478988604,2.32086351495726,2.34590357905983,11930389
"2004-02-18",2.32364574430199,2.37650810185185,2.30138790954416,2.32086351495726,12168461
"2004-02-19",2.34033912037037,2.38485478988604,2.31529905626781,2.32642797364672,11797292
"2004-02-20",2.48779727564103,2.52396625712251,2.33477466168091,2.3431213497151,59757094
"2004-02-23",2.42937045940171,2.56291746794872,2.42658823005698,2.49614396367521,31529582
"2004-02-24",2.34590357905983,2.42658823005698,2.30138790954416,2.42658823005698,21951132
"2004-02-25",2.25965446937322,2.3904192485755,2.24574332264957,2.34868580840456,18810525
"2004-02-26",2.27078338675214,2.29025899216524,2.21792102920228,2.25409001068376,13566783
"2004-02-27",2.2763478454416,2.29860568019943,2.24017886396011,2.27356561609687,8180086
"2004-03-01",2.27913007478632,2.28747676282051,2.19009873575499,2.26521892806268,9583648
"2004-03-02",2.30138790954416,2.33477466168091,2.27356561609687,2.28747676282051,9874340
"2004-03-03",2.34590357905983,2.40433039529915,2.25965446937322,2.26521892806268,18211090
"2004-03-04",2.47110389957265,2.48223281695157,2.32921020299145,2.33755689102564,34066490
"2004-03-05",2.3625969551282,2.50727288105413,2.35703249643875,2.49614396367521,22448758
"2004-03-08",2.29025899216524,2.4098948539886,2.2763478454416,2.3625969551282,13280269
"2004-03-09",2.2958234508547,2.35981472578348,2.28191230413105,2.28191230413105,8771816
"2004-03-10",2.36537918447293,2.37094364316239,2.2958234508547,2.2958234508547,8059458
"2004-03-11",2.39598370726496,2.42380600071225,2.35703249643875,2.37372587250712,12175180
"2004-03-12",2.35981472578348,2.39320147792023,2.33199243233618,2.38485478988604,8074978
"2004-03-15",2.44606383547009,2.45441052350427,2.3431213497151,2.3431213497151,20382781
"2004-03-16",2.42658823005698,2.46275721153846,2.39876593660969,2.45162829415954,12458035
"2004-03-17",2.51840179843305,2.54900632122507,2.41267708333333,2.42937045940171,38534338
"2004-03-18",2.45441052350427,2.56569969729345,2.44328160612536,2.52396625712251,29509166
"2004-03-19",2.50170842236467,2.51005511039886,2.44049937678063,2.45441052350427,14215519
"2004-03-22",2.54065963319088,2.55735300925926,2.49614396367521,2.51005511039886,15192734
"2004-03-23",2.47666835826211,2.54622409188034,2.44606383547009,2.54065963319088,17369175
"2004-03-24",2.42380600071225,2.46832167022792,2.39320147792023,2.46832167022792,16101349
"2004-03-25",2.42102377136752,2.47110389957265,2.38763701923077,2.42380600071225,9472232
"2004-03-26",2.41267708333333,2.44049937678063,2.38485478988604,2.42102377136752,8743083
"2004-03-29",2.32642797364672,2.41545931267806,2.30973459757835,2.39876593660969,19253541
"2004-03-30",2.34868580840456,2.3625969551282,2.31529905626781,2.33199243233618,6928043
"2004-03-31",2.35981472578348,2.36816141381766,2.32642797364672,2.36816141381766,6407592
"2004-04-01",2.36816141381766,2.38485478988604,2.32364574430199,2.35981472578348,8896248
"2004-04-02",2.37929033119658,2.38207256054131,2.3431213497151,2.37094364316239,8675925
"2004-04-05",2.34033912037037,2.39320147792023,2.32364574430199,2.38485478988604,8678689
"2004-04-06",2.35703249643875,2.3625969551282,2.29860568019943,2.3431213497151,11322094
"2004-04-07",2.31808128561254,2.35703249643875,2.30973459757835,2.35425026709402,9570810
"2004-04-08",2.28469453347578,2.31808128561254,2.28191230413105,2.31529905626781,11468470
"2004-04-09",2.24296109330484,2.32086351495726,2.22626771723647,2.28469453347578,11652085
"2004-04-12",2.25409001068376,2.25965446937322,2.21513879985755,2.23183217592593,7828709
"2004-04-13",2.14836529558405,2.27356561609687,2.14280083689459,2.25409001068376,16066004
"2004-04-14",2.07046287393162,2.14836529558405,2.0398583511396,2.14836529558405,16561009
"2004-04-15",2.11776077279202,2.22626771723647,2.07324510327635,2.07602733262108,14663949
