"","SBUX.Open","SBUX.High","SBUX.Low","SBUX.Close","SBUX.Volume","SBUX.Adjusted"
"2001-01-02",5.490234,5.523438,5.164063,5.257813,16438400,4.507653
"2001-01-03",5.25,5.53125,5.085938,5.40625,24014400,4.634911
"2001-01-04",5.351563,5.359375,5.046875,5.140625,24139200,4.407185
"2001-01-05",5.304688,5.398438,5.210938,5.21875,28048000,4.474164
"2001-01-08",5.15625,5.367188,5.15625,5.304688,15412000,4.547841
"2001-01-09",5.320313,5.40625,5.210938,5.21875,8844800,4.474164
"2001-01-10",5.15625,5.539063,5.125,5.5,20512000,4.715286
"2001-01-11",5.4375,5.578125,5.4375,5.539063,12037600,4.748775
"2001-01-12",5.460938,5.59375,5.445313,5.59375,16648000,4.79566
"2001-01-16",5.53125,5.703125,5.53125,5.601563,11405600,4.802358
"2001-01-17",5.617188,5.703125,5.546875,5.601563,11756000,4.802358
"2001-01-18",5.664063,5.726563,5.609375,5.679688,12414400,4.869338
"2001-01-19",5.632813,5.84375,5.609375,5.789063,15804800,4.963107
"2001-01-22",5.8125,5.828125,5.59375,5.65625,11187200,4.849244
"2001-01-23",5.632813,5.820313,5.625,5.796875,9845600,4.969804
"2001-01-24",5.8125,5.828125,5.34375,5.421875,24792800,4.648307
"2001-01-25",5.445313,5.492188,5.226563,5.351563,19751200,4.588028
"2001-01-26",5.570313,5.726563,5.5625,5.703125,22613600,4.889431
"2001-01-29",5.710938,6.171875,5.6875,6.15625,46998400,5.277906
"2001-01-30",6.085938,6.109375,5.90625,6.09375,18477600,5.224323
"2001-01-31",6.085938,6.257813,6.085938,6.242188,31927200,5.351582
"2001-02-01",6.171875,6.210938,6.03125,6.132813,20617600,5.257812
"2001-02-02",6.046875,6.109375,5.953125,5.984375,23588000,5.130554
"2001-02-05",5.976563,6.0625,5.789063,5.992188,16599200,5.13725
"2001-02-06",6,6.25,5.976563,6.234375,27388000,5.344884
"2001-02-07",6.140625,6.257813,6.132813,6.234375,14171200,5.344884
"2001-02-08",6.234375,6.414063,6.023438,6.078125,27500000,5.210927
"2001-02-09",6.015625,6.148438,5.976563,6.039063,11520000,5.177438
"2001-02-12",6.039063,6.265625,6.039063,6.25,13576800,5.358279
"2001-02-13",6.195313,6.351563,6.078125,6.078125,17178400,5.210927
"2001-02-14",6.09375,6.164063,5.9375,5.984375,18196800,5.130554
"2001-02-15",6.015625,6.179688,6,6.15625,11702400,5.277906
"2001-02-16",6.0625,6.21875,6.03125,6.117188,8581600,5.244416
"2001-02-20",6.15625,6.28125,6.03125,6.039063,14636000,5.177438
"2001-02-21",5.992188,6.164063,5.859375,5.984375,19056000,5.130554
"2001-02-22",6.046875,6.078125,5.84375,5.921875,12880000,5.076972
"2001-02-23",5.921875,6,5.78125,5.960938,18066400,5.110459
"2001-02-26",5.960938,6.0625,5.953125,5.976563,14198400,5.123855
"2001-02-27",5.96875,6.101563,5.9375,6.03125,16296000,5.170741
"2001-02-28",6.046875,6.0625,5.921875,5.953125,20444800,5.103761
"2001-03-01",5.9375,6,5.789063,5.945313,19032000,5.097062
"2001-03-02",6,6.132813,5.9375,5.9375,45720800,5.090366
"2001-03-05",5.9375,5.945313,5.757813,5.835938,13332800,5.003294
"2001-03-06",5.851563,5.90625,5.78125,5.84375,15170400,5.009991
"2001-03-07",5.851563,5.882813,5.736328,5.773438,16062400,4.94971
"2001-03-08",5.796875,5.953125,5.765625,5.945313,18649600,5.097062
"2001-03-09",5.945313,5.96875,5.851563,5.890625,10895200,5.050176
"2001-03-12",5.859375,5.867188,5.59375,5.617188,18232800,4.815753
"2001-03-13",5.65625,5.65625,5.3125,5.59375,26437600,4.79566
"2001-03-14",5.46875,5.554688,5.328125,5.40625,17613600,4.634911
"2001-03-15",5.484375,5.546875,5.390625,5.460938,12659200,4.681797
"2001-03-16",5.326172,5.5,5.304688,5.476563,20744800,4.695191
"2001-03-19",5.476563,5.570313,5.445313,5.539063,14292800,4.748775
"2001-03-20",5.554688,5.65625,5.40625,5.40625,18596800,4.634911
"2001-03-21",5.414063,5.421875,5.109375,5.117188,25528000,4.387093
"2001-03-22",5.21875,5.226563,4.820313,5.007813,37176800,4.29332
"2001-03-23",5.09375,5.15625,4.929688,5.109375,23750400,4.380394
"2001-03-26",5.171875,5.3125,5.148438,5.203125,23172000,4.460769
"2001-03-27",5.265625,5.28125,5.03125,5.085938,24633600,4.3603
"2001-03-28",5.070313,5.195313,5.023438,5.148438,19444000,4.413883
"2001-03-29",5.140625,5.40625,5.0625,5.242188,26839200,4.494257
"2001-03-30",5.257813,5.445313,5.242188,5.304688,22817600,4.547841
"2001-04-02",5.320313,5.445313,5.3125,5.375,16204000,4.608121
"2001-04-03",5.34375,5.398438,5.203125,5.21875,19647200,4.474164
"2001-04-04",5.15625,5.203125,5.0625,5.117188,26589600,4.387093
"2001-04-05",5.195313,5.265625,5.007813,5.117188,24699200,4.387093
"2001-04-06",5.023438,5.023438,4.539063,4.65625,69001600,3.991918
"2001-04-09",4.6875,4.845,4.675,4.82875,39734400,4.139807
"2001-04-10",4.875,5.04625,4.8625,5,25829600,4.286624
"2001-04-11",5.05125,5.19375,5,5.03125,24724800,4.313416
"2001-04-12",4.88125,4.935,4.6775,4.7475,40323200,4.070148
"2001-04-16",4.755,4.96875,4.75375,4.82125,17379200,4.133376
"2001-04-17",4.8175,4.9375,4.78125,4.8725,11406400,4.177315
"2001-04-18",4.92625,5.255,4.88125,5.18875,25098400,4.448443
"2001-04-19",5.18375,5.24125,5.05,5.16,17739200,4.423796
"2001-04-20",5.07375,5.125,4.95875,5.02875,15711200,4.311274
"2001-04-23",5.03625,5.1225,4.865,4.875,16105600,4.179458
"2001-04-24",4.91875,4.91875,4.70625,4.71375,26670400,4.041214
"2001-04-25",4.7625,5.0075,4.70625,4.96625,21449600,4.257689
"2001-04-26",5.03625,5.1,4.9375,4.96,17641600,4.25233
"2001-04-27",4.625,4.695,4.5875,4.645,111773600,3.982273
"2001-04-30",4.7475,4.9375,4.625,4.8375,28308000,4.147308
"2001-05-01",4.8375,5.035,4.8,5.005,24913600,4.29091
"2001-05-02",5.03,5.04,4.8075,4.9275,18270400,4.224465
"2001-05-03",4.89,4.895,4.725,4.7375,16839600,4.061577
"2001-05-04",4.525,4.75,4.5,4.7475,26890400,4.070148
"2001-05-07",4.7475,4.8175,4.6625,4.7175,13495200,4.044429
"2001-05-08",4.815,4.815,4.54,4.6475,27590800,3.984416
"2001-05-09",4.645,4.7575,4.6,4.675,13080800,4.007993
"2001-05-10",4.6875,4.7375,4.6275,4.6525,11176400,3.988703
"2001-05-11",4.69,4.7725,4.6425,4.7275,13471600,4.053003
"2001-05-14",4.725,4.88,4.65,4.83,20039600,4.140879
"2001-05-15",4.78,5,4.775,4.885,18256400,4.18803
"2001-05-16",4.86,5.03,4.775,5.005,17761200,4.29091
"2001-05-17",5,5.2475,5,5.1825,22518800,4.443084
"2001-05-18",5.1825,5.215,5.0425,5.175,12053600,4.436655
"2001-05-21",5.165,5.2825,5.08,5.275,14990800,4.52239
"2001-05-22",5.29,5.3825,5.2325,5.3,16757200,4.54382
"2001-05-23",5.275,5.295,4.9925,5.0225,19695200,4.305913
"2001-05-24",5.01,5.095,4.9125,5.095,14564800,4.368069
"2001-05-25",5.1025,5.15,4.9575,5.0975,6543200,4.370213
"2001-05-29",5.1,5.1875,4.9375,4.9675,7977600,4.258761
