"","MUR.Open","MUR.High","MUR.Low","MUR.Close","MUR.Volume","MUR.Adjusted"
"2001-05-08",16.36874,16.487478,16.183075,16.468048,1123200,9.226339
"2001-05-09",16.493956,16.910622,16.493956,16.755182,1111600,9.38721
"2001-05-10",16.701208,16.714163,16.558722,16.569517,823500,9.283191
"2001-05-11",16.537132,16.556562,16.306131,16.517702,726200,9.254159
"2001-05-14",16.839378,17.126511,16.774611,17.014248,1357100,9.532352
"2001-05-15",17.022884,17.398533,16.979706,17.327288,883300,9.707737
"2001-05-16",17.327288,17.530224,17.292746,17.411486,816100,9.754908
"2001-05-17",17.357513,17.780657,17.171848,17.750431,1984800,9.944805
"2001-05-18",17.897236,18.782383,17.897236,18.663645,2325700,10.456437
"2001-05-21",18.782383,18.965889,18.687391,18.911917,2440600,10.595536
"2001-05-22",18.892487,18.894646,18.577288,18.702505,1539200,10.478207
"2001-05-23",18.611832,18.685234,18.404577,18.495251,1489600,10.362094
"2001-05-24",18.415371,18.43696,18.011658,18.221071,1327500,10.208481
"2001-05-25",18.275043,18.393782,18.238342,18.303108,701700,10.254446
"2001-05-29",18.303108,18.441278,18.201641,18.361399,1183900,10.287103
"2001-05-30",18.465027,18.566494,18.039724,18.069948,1809200,10.123814
"2001-05-31",17.983593,18.199482,17.946892,18.14551,2402600,10.16615
"2001-06-01",18.199482,18.208117,17.756908,17.899395,1405800,10.028264
"2001-06-04",18.069948,18.309586,18.069948,18.305267,2018600,10.255651
"2001-06-05",18.35924,18.372194,18.151987,18.31822,1202400,10.26291
"2001-06-06",18.199482,18.201641,17.918825,18.095856,2511000,10.138332
"2001-06-07",18.041883,18.041883,17.631693,17.638168,1398400,9.881907
"2001-06-08",17.551813,17.594992,17.184801,17.588514,2225600,9.854089
"2001-06-11",17.71373,17.983593,17.659758,17.754749,2427100,9.947225
"2001-06-12",17.735319,17.800087,17.646805,17.731001,2008400,9.933916
"2001-06-13",17.75259,17.838947,17.504318,17.515112,2097300,9.812966
"2001-06-14",17.728844,17.728844,17.46114,17.495682,1740200,9.802077
"2001-06-15",17.443869,17.648964,17.357513,17.495682,964800,9.802077
"2001-06-18",17.454662,17.487047,17.258204,17.322971,995400,9.705314
"2001-06-19",17.271156,17.411486,17.202072,17.38126,854100,9.737972
"2001-06-20",17.357513,17.605785,17.234455,17.251728,1552100,9.665402
"2001-06-21",17.251728,17.32513,16.504749,16.6019,1958800,9.301329
"2001-06-22",16.591105,16.709845,16.023315,16.675303,3307200,9.342451
"2001-06-25",16.871761,16.979706,16.439983,16.670984,2258100,9.340038
"2001-06-26",16.645079,16.740068,16.338514,16.634283,1302500,9.319473
"2001-06-27",16.48316,16.48316,15.932643,16.068653,2151500,9.002578
"2001-06-28",15.969344,16.062176,15.392919,15.619603,2411800,8.750995
"2001-06-29",15.673575,16.148533,15.587219,15.889464,2249700,8.902182
"2001-07-02",15.867876,15.954231,15.628239,15.803109,1676700,8.853803
"2001-07-03",15.805267,16.083765,15.805267,15.97798,530300,8.951777
"2001-07-05",15.97798,16.396805,15.97798,16.139896,1187600,9.042491
"2001-07-06",16.245682,16.256477,15.911054,16.066494,1428500,9.001368
"2001-07-09",16.079447,16.079447,15.490069,15.561313,1456700,8.718336
"2001-07-10",15.777202,15.975821,15.500864,15.723229,2273800,8.809051
"2001-07-11",15.518135,15.531088,15.192142,15.522452,1984300,8.696563
"2001-07-12",15.46848,15.602331,15.263385,15.392919,2026500,8.623991
"2001-07-13",15.392919,15.973661,15.349741,15.673575,1428900,8.781233
"2001-07-16",15.673575,15.975821,15.200777,15.228843,1630400,8.532064
"2001-07-17",15.034542,15.328152,14.805699,14.853195,1976000,8.321607
"2001-07-18",14.680484,15.004318,14.367444,14.892056,1928300,8.343376
"2001-07-19",14.946028,15.252591,14.885578,15.060449,1285300,8.437717
"2001-07-20",15.220207,15.414508,15.198618,15.377807,890700,8.615523
"2001-07-23",15.533247,15.846287,15.457685,15.518135,2162200,8.694143
"2001-07-24",15.572107,15.598014,15.161917,15.263385,903700,8.551418
"2001-07-25",15.436097,16.148533,15.282815,16.148533,1737900,9.047326
"2001-07-26",16.148533,16.759499,16.148533,16.716322,2010700,9.365436
"2001-07-27",16.716322,16.962435,16.418394,16.925734,1507700,9.482763
"2001-07-30",16.925734,17.120035,16.753023,16.860968,998100,9.446477
"2001-07-31",16.860968,17.072538,16.429188,16.526339,1324200,9.258998
"2001-08-01",16.526339,16.817789,16.407598,16.450777,1573400,9.21666
"2001-08-02",16.623489,16.627806,16.299654,16.623489,625700,9.313426
"2001-08-03",16.580311,16.591105,16.113989,16.353626,782800,9.162233
"2001-08-06",16.342833,16.476685,15.997409,16.090242,855500,9.014668
"2001-08-07",16.245682,16.323402,16.101036,16.245682,655800,9.101758
"2001-08-08",16.299654,16.364422,16.152849,16.224092,1909700,9.089663
"2001-08-09",16.077288,16.373056,16.029793,16.373056,1154700,9.390278
"2001-08-10",16.373056,17.035837,16.373056,16.688255,1533600,9.571051
"2001-08-13",16.699051,17.022884,16.515545,16.6019,660000,9.521524
"2001-08-14",16.655872,16.979706,16.655872,16.917099,837000,9.702295
"2001-08-15",16.925734,18.188688,16.910622,18.080742,2639300,10.369672
"2001-08-16",18.082901,18.246977,17.702936,17.867012,1568300,10.247096
"2001-08-17",17.854059,17.864853,17.627375,17.705095,801700,10.15423
"2001-08-20",17.724525,17.735319,17.271156,17.346718,809600,9.948696
"2001-08-21",17.389896,17.71373,17.389896,17.525908,706800,10.051461
"2001-08-22",17.741796,18.199482,17.702936,18.134714,2605900,10.400627
"2001-08-23",18.136873,18.512522,17.843264,17.985752,1805000,10.315192
"2001-08-24",17.985752,18.059155,17.573402,17.784973,1158400,10.200042
"2001-08-27",17.838947,17.972797,17.530224,17.664076,793900,10.13071
"2001-08-28",17.681347,17.689983,17.273315,17.292746,1074600,9.917741
"2001-08-29",17.379103,18.167099,17.379103,18.14551,1923600,10.40682
"2001-08-30",18.14551,18.458549,17.487047,17.51943,2011200,10.04775
"2001-08-31",16.731434,16.753023,16.148533,16.299654,7004500,9.348183
"2001-09-04",16.299654,16.683937,16.234888,16.364422,2989900,9.385328
"2001-09-05",16.353626,16.774611,16.234888,16.575993,1455300,9.506666
"2001-09-06",16.578152,16.716322,16.578152,16.668825,1995900,9.559912
"2001-09-07",16.623489,16.688255,16.537132,16.612694,1326600,9.52772
"2001-09-10",16.614853,16.666666,16.407598,16.537132,901800,9.48438
"2001-09-17",16.871761,17.098446,16.407598,16.699051,2558200,9.57724
"2001-09-18",16.688255,16.688255,15.835492,15.932643,1213100,9.137691
"2001-09-19",15.78152,15.846287,15.112263,15.349741,2186300,8.803388
"2001-09-20",15.328152,15.587219,15.198618,15.252591,1501600,8.747672
"2001-09-21",14.86399,15.867876,14.736615,15.770725,1929600,9.044831
"2001-09-24",15.770725,15.770725,14.939551,15.105785,1762900,8.663476
"2001-09-25",15.107944,15.107944,14.594128,14.712867,1680900,8.438128
"2001-09-26",14.712867,14.917962,14.399827,14.917962,2410900,8.555754
"2001-09-27",14.894215,15.209413,14.661054,15.090673,2061700,8.654806
"2001-09-28",15.306563,15.649827,15.295769,15.621761,1393300,8.959394
"2001-10-01",15.621761,15.621761,15.090673,15.477116,1076900,8.876442
"2001-10-02",15.477116,15.893783,15.360536,15.891623,1010200,9.114169
"2001-10-03",15.893783,15.900259,15.403713,15.841969,1839800,9.08569
"2001-10-04",15.975821,16.591105,15.967185,16.541451,1567900,9.486859
"2001-10-05",16.541451,16.753023,16.018999,16.580311,1594300,9.509146
"2001-10-08",16.450777,16.882557,16.364422,16.627806,730900,9.536384
"2001-10-09",16.735752,16.943005,16.655872,16.774611,1136200,9.62058
"2001-10-10",16.947323,17.357513,16.947323,17.258204,1070900,9.897931
"2001-10-11",17.303541,17.534542,17.08765,17.303541,1621600,9.923931
"2001-10-12",17.32513,17.495682,17.096287,17.258204,1927800,9.897931
"2001-10-15",17.271156,17.379103,16.7962,17.076857,917500,9.793923
"2001-10-16",17.055267,17.322971,16.979706,17.314335,1517400,9.930119
"2001-10-17",17.487047,17.806562,17.443869,17.551813,1867100,10.06632
"2001-10-18",17.454662,17.456821,16.735752,16.845856,1892100,9.661437
"2001-10-19",16.731434,17.271156,16.265112,17.249569,1522500,9.89298
"2001-10-22",17.249569,17.692142,17.10924,17.569084,2624900,10.076228
"2001-10-23",17.551813,18.12392,17.22798,17.428757,1581300,9.995745
"2001-10-24",17.260363,17.644646,17.174007,17.465458,1913400,10.016788
"2001-10-25",17.51943,17.942574,17.443869,17.903713,837900,10.268139
"2001-10-26",17.702936,18.210276,17.657598,17.724525,2495700,10.165374
"2001-10-29",17.83247,18.264248,17.789291,17.949051,1637800,10.294144
"2001-10-30",17.281952,17.497841,17.012091,17.331606,1672100,9.940027
"2001-10-31",17.335924,17.648964,17.050949,17.163212,1886100,9.843448
"2001-11-01",17.130829,17.342402,16.893351,17.232298,1117700,9.883074
"2001-11-02",17.178324,17.178324,16.839378,16.882557,1757800,9.68249
"2001-11-05",16.886873,16.925734,16.591105,16.701208,2347400,9.57848
"2001-11-06",16.485319,16.62133,16.332039,16.511227,2088100,9.469521
"2001-11-07",16.472366,16.688255,16.295338,16.629965,1960700,9.759393
"2001-11-08",16.677462,16.753023,16.511227,16.578152,2168200,9.728988
"2001-11-09",16.785406,16.979706,16.763817,16.897669,1632700,9.916497
"2001-11-12",16.666666,16.774611,16.429188,16.731434,923600,9.81894
"2001-11-13",16.947323,17.271156,16.537132,17.217184,2205200,10.104009
"2001-11-14",16.850172,16.850172,16.267271,16.299654,1591000,9.565548
"2001-11-15",15.900259,15.954231,15.015112,15.112263,3612000,8.868722
"2001-11-16",15.112263,15.56563,14.680484,15.522452,2880600,9.109444
"2001-11-19",15.500864,15.641191,14.926598,15.500864,2139900,9.096773
"2001-11-20",15.766408,16.070812,15.651986,15.846287,1322400,9.299486
"2001-11-21",15.87867,16.018999,15.427461,15.630397,1025900,9.17279
"2001-11-23",15.231002,15.867876,15.17703,15.725389,654900,9.228535
"2001-11-26",15.522452,15.712435,15.328152,15.606649,932800,9.158853
"2001-11-27",15.500864,15.913213,15.436097,15.714594,1069000,9.222198
"2001-11-28",15.617444,15.677893,15.395078,15.399396,879100,9.037229
"2001-11-29",15.412349,15.68437,15.41019,15.610968,1183400,9.161388
"2001-11-30",15.610968,15.716753,15.513817,15.524611,1272400,9.110708
"2001-12-03",15.526771,16.144215,15.330311,16.107513,3219700,9.452789
"2001-12-04",16.159327,16.537132,16.081606,16.509068,1624400,9.688445
"2001-12-05",16.925734,17.292746,16.882557,17.163212,4488800,10.072334
"2001-12-06",17.10924,17.10924,16.623489,16.666666,1843900,9.780931
"2001-12-07",16.526339,17.120035,16.515545,16.962435,1770300,9.954508
"2001-12-10",16.908463,16.908463,16.645079,16.66235,1006900,9.7784
"2001-12-11",16.677462,16.850172,16.550087,16.634283,1269100,9.761926
"2001-12-12",16.645079,16.658031,16.321243,16.515545,757700,9.692249
"2001-12-13",16.332039,16.617012,16.299654,16.407598,781800,9.628894
"2001-12-14",16.6019,16.809155,16.504749,16.785406,780400,9.850615
"2001-12-17",16.634283,16.850172,16.476685,16.591105,685900,9.736588
"2001-12-18",16.636442,16.778929,16.636442,16.740068,864700,9.824012
"2001-12-19",16.740068,17.210709,16.688255,17.046633,1399700,10.003916
"2001-12-20",17.098446,17.318653,17.098446,17.26684,1249200,10.133149
"2001-12-21",17.271156,17.897236,17.271156,17.746115,1857800,10.414412
"2001-12-24",17.748272,17.886442,17.702936,17.875648,285700,10.490434
"2001-12-26",17.929621,18.205959,17.929621,18.151987,797600,10.652602
"2001-12-27",18.059155,18.061312,17.79361,17.972797,869400,10.547442
"2001-12-28",18.02677,18.264248,18.02677,18.234024,1950000,10.70074
"2001-12-31",18.285837,18.346287,18.063471,18.143351,1208000,10.647536
"2002-01-02",18.089378,18.089378,17.57988,17.681347,1335400,10.376404
"2002-01-03",17.810881,17.998705,17.32513,17.471935,1750400,10.25351
"2002-01-04",17.525908,18.000864,17.487047,17.864853,1494700,10.484099
"2002-01-07",17.864853,18.177893,17.692142,18.033247,1127400,10.582916
"2002-01-08",18.005182,18.005182,17.843264,17.860535,632700,10.48156
"2002-01-09",17.681347,17.981434,17.620897,17.810881,1206100,10.452421
"2002-01-10",17.756908,17.769861,17.530224,17.566925,696100,10.309256
"2002-01-11",17.458981,17.46114,17.033678,17.033678,1158000,9.996315
"2002-01-14",16.925734,16.951641,16.742228,16.813471,1534100,9.867088
"2002-01-15",16.839378,17.379103,16.81563,17.376944,1130200,10.197762
"2002-01-16",17.055267,17.176167,16.839378,16.958117,1207000,9.95197
"2002-01-17",17.012091,17.098446,16.886873,17.098446,822100,10.034325
"2002-01-18",17.130829,17.217184,16.910622,16.910622,915700,9.924095
"2002-01-22",17.005613,17.098446,16.772453,16.772453,567400,9.843012
"2002-01-23",16.893351,17.271156,16.893351,17.249569,778100,10.123014
"2002-01-24",17.271156,17.677029,17.234455,17.463299,814700,10.24844
"2002-01-25",17.506477,17.735319,17.506477,17.653282,890200,10.359933
"2002-01-28",17.707254,17.743956,17.297064,17.338083,729500,10.174958
"2002-01-29",17.165371,17.251728,17.033678,17.217184,767000,10.104009
"2002-01-30",17.033678,17.454662,16.860968,17.446028,1149100,10.238306
"2002-01-31",17.262522,17.553972,16.947323,17.055267,2913900,10.008984
"2002-02-01",17.06822,17.113558,16.860968,17.033678,2205200,9.996315
"2002-02-04",17.001295,17.022884,16.569517,16.720638,1566500,9.812604
"2002-02-05",16.558722,17.033678,16.517702,16.984024,887900,9.967178
"2002-02-06",16.943005,17.344559,16.943005,17.154577,1195900,10.067268
"2002-02-07",17.046633,17.046633,16.778929,17.012091,801700,9.983646
"2002-02-08",17.012091,17.299223,16.951641,17.243092,1323300,10.11921
"2002-02-11",17.163212,17.456821,17.085493,17.383419,1032400,10.201562
"2002-02-12",17.329447,17.417961,17.217184,17.290586,865200,10.147084
"2002-02-13",17.098446,17.292746,17.066063,17.292746,708200,10.373453
"2002-02-14",17.342402,17.679188,17.221502,17.532383,1069500,10.5172
"2002-02-15",17.551813,17.603626,17.346718,17.493523,736000,10.493895
"2002-02-19",17.465458,17.638168,17.236614,17.489206,809200,10.491302
"2002-02-20",17.487047,17.636011,17.292746,17.465458,679500,10.477057
"2002-02-21",17.489206,17.767702,17.474092,17.510794,1145900,10.504252
"2002-02-22",17.487047,17.962004,17.487047,17.864853,1524800,10.716645
"2002-02-25",17.918825,18.231865,17.875648,18.199482,1046300,10.917379
"2002-02-26",18.221071,18.484455,18.039724,18.449913,1776800,11.067601
"2002-02-27",18.449913,18.724092,18.406736,18.544905,1497500,11.12459
"2002-02-28",18.566494,18.782383,18.508204,18.605354,990300,11.160852
"2002-03-01",18.642056,18.696028,18.544905,18.616148,1718900,11.167326
"2002-03-04",18.566494,18.739206,18.544905,18.687391,664600,11.210057
"2002-03-05",18.68955,18.708981,18.514681,18.51684,789700,11.107755
"2002-03-06",18.469343,18.972366,18.458549,18.935665,1109800,11.358992
"2002-03-07",18.993956,19.484024,18.972366,19.332901,1370600,11.597285
"2002-03-08",19.37608,19.419258,18.728411,18.803972,1749000,11.279994
"2002-03-11",18.857944,19.009068,18.803972,18.834196,1468300,11.298125
"2002-03-12",18.834196,19.093264,18.747841,19.02202,567400,11.410792
"2002-03-13",19.149395,19.337219,18.898964,18.898964,1041700,11.33698
"2002-03-14",18.901123,19.034973,18.642056,18.985319,1108400,11.388778
"2002-03-15",19.019861,19.110535,18.901123,19.075993,1145900,11.443172
"2002-03-18",19.084629,19.479706,19.032816,19.43437,1380700,11.658153
"2002-03-19",19.613558,19.773315,19.47323,19.715027,1409000,11.826513
"2002-03-20",19.689119,20.010794,19.484024,19.861832,1544300,11.914575
"2002-03-21",19.861832,19.991364,19.710709,19.989206,1426600,11.990984
"2002-03-22",19.958981,20.110104,19.794905,20.064766,2556800,12.036313
"2002-03-25",19.937391,19.995682,19.775475,19.905008,1350600,11.940475
"2002-03-26",19.933075,20.066925,19.691278,20.036701,960200,12.019477
"2002-03-27",20.164076,20.72323,20.125216,20.66494,1430800,12.396339
"2002-03-28",20.621761,20.805267,20.477116,20.725389,1895400,12.432602
"2002-04-01",20.779362,21.109673,20.682211,20.848446,1356700,12.506418
"2002-04-02",20.746977,21.096718,20.746977,20.781519,2052400,12.466265
"2002-04-03",20.781519,20.783678,20.05829,20.103626,2547100,12.059621
"2002-04-04",20.131693,20.161917,19.905008,20.077721,1747100,12.044084
"2002-04-05",20.120897,20.164076,19.861832,19.874784,938900,11.922342
"2002-04-08",20.015112,20.468481,20.015112,20.429621,1543300,12.255178
"2002-04-09",20.375648,20.429621,20.01943,20.03886,2567500,12.02077
"2002-04-10",19.984888,20.09931,19.797064,20.034542,1772200,12.01818
"2002-04-11",19.952505,20.062609,19.883419,19.883419,2170000,11.927526
"2002-04-12",19.66753,19.721502,19.183937,19.317789,1740200,11.588216
"2002-04-15",19.537996,20.053972,19.537996,20.030224,1649900,12.015594
"2002-04-16",20.077721,20.280657,19.982729,20.202936,1248700,12.119196
"2002-04-17",20.591537,21.319084,20.520294,21.178757,2291400,12.704565
"2002-04-18",21.135578,21.442142,20.941278,21.221935,1677200,12.730464
"2002-04-19",20.941278,21.470207,20.887306,21.4443,1007400,12.863851
"2002-04-22",21.30829,21.416235,21.038429,21.137737,875400,12.679962
"2002-04-23",20.617443,21.416235,20.617443,21.407598,1394600,12.841842
"2002-04-24",20.790155,20.924007,20.334629,20.902418,3398900,12.538796
"2002-04-25",20.725389,21.01684,20.509499,20.861399,1212100,12.514192
"2002-04-26",20.852764,20.854921,20.511658,20.729706,1016200,12.435186
"2002-04-29",20.682211,20.682211,20.358377,20.643351,1516000,12.383389
"2002-04-30",20.535406,20.641191,20.27202,20.369171,1515100,12.218911
"2002-05-01",20.045338,20.131693,19.855354,20.112263,1967600,12.064802
"2002-05-02",20.114422,20.315199,19.883419,20.304403,1610500,12.180065
"2002-05-03",20.323833,20.880829,20.323833,20.485752,1233000,12.288848
"2002-05-06",20.185665,20.218048,19.753885,19.8057,1880500,12.102569
"2002-05-07",19.8057,19.991364,19.43437,19.868307,935200,12.140822
"2002-05-08",20.09931,20.539724,20.077721,20.535406,1302500,12.548466
"2002-05-09",20.531088,20.628239,20.192142,20.369171,812400,12.446879
"2002-05-10",20.41235,20.563471,20.29361,20.37133,850800,12.448199
"2002-05-13",20.37133,20.658463,20.207254,20.619602,1242700,12.599915
"2002-05-14",20.736183,20.85924,20.572107,20.649828,891100,12.618376
"2002-05-15",20.647669,20.647669,20.256908,20.453367,936100,12.498332
"2002-05-16",20.487909,20.595856,20.123056,20.155441,1318700,12.31628
"2002-05-17",20.077721,20.110104,19.771156,19.840242,1371900,12.123673
"2002-05-20",19.840242,20.142487,19.775475,20.101467,497900,12.283296
"2002-05-21",20.056131,20.336788,19.969776,19.969776,490500,12.202826
"2002-05-22",19.915804,20.105785,19.861832,19.969776,547900,12.202826
"2002-05-23",20.056131,20.284973,19.971935,20.218048,460800,12.354535
"2002-05-24",20.185665,20.284973,20.107944,20.1943,715600,12.340021
"2002-05-28",20.218048,20.336788,19.948187,20.159758,394100,12.318913
"2002-05-29",20.105785,20.27202,19.894215,20.218048,822100,12.354535
"2002-05-30",20.002159,20.159758,19.650259,19.822971,478900,12.11312
"2002-05-31",19.822971,20.120897,19.797064,19.956821,1496500,12.194913
"2002-06-03",19.645941,19.807858,19.525043,19.527203,717000,11.932382
"2002-06-04",19.494818,19.613558,19.214163,19.37608,931000,11.840043
"2002-06-05",19.37608,19.37608,19.127806,19.18178,881400,11.721311
"2002-06-06",19.300518,19.503454,18.890327,18.907598,1625800,11.553766
"2002-06-07",18.864422,19.261658,18.814766,19.209845,578000,11.738459
"2002-06-10",19.311312,19.399828,18.879534,18.959414,490000,11.585425
"2002-06-11",18.998272,19.127806,18.441278,18.473661,1228800,11.288606
"2002-06-12",18.5557,18.771589,18.458549,18.601036,745700,11.366435
"2002-06-13",18.717617,19.160191,18.572971,18.888168,761000,11.541895
"2002-06-14",18.847151,19.095423,18.581606,18.948618,1034300,11.578834
"2002-06-17",19.056562,19.283247,19.030657,19.151554,1431200,11.702838
"2002-06-18",19.151554,19.306995,19.056562,19.119171,598400,11.683049
"2002-06-19",19.099741,19.31563,18.998272,18.998272,605400,11.609171
"2002-06-20",19.18178,19.268135,19.019861,19.039291,1150500,11.634244
"2002-06-21",18.415371,18.836355,18.3981,18.780224,3050100,11.475937
"2002-06-24",18.702505,18.702505,18.490932,18.5557,1748500,11.338731
"2002-06-25",18.5557,18.665804,18.251295,18.270725,1355700,11.164601
"2002-06-26",18.134714,18.134714,17.864853,18.091537,912500,11.0551
"2002-06-27",18.113127,18.12392,17.681347,17.735319,1011100,10.837433
"2002-06-28",17.735319,18.188688,17.73316,17.810881,1349300,10.883603
"2002-07-01",17.83247,17.884283,17.454662,17.463299,1568300,10.671206
"2002-07-02",17.482729,17.482729,16.802677,16.828585,1611900,10.283355
"2002-07-03",16.828585,16.949482,16.809155,16.837219,1686500,10.28863
"2002-07-05",16.925734,16.97323,16.850172,16.850172,803100,10.296544
"2002-07-08",16.839378,16.912781,16.591105,16.664507,1727200,10.183091
"2002-07-09",16.66235,16.768135,16.537132,16.569517,994900,10.125053
